INFO  - 2014-10-19 11:11:28.946; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-10-19 11:11:28.955; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-10-19 11:11:28.956; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-10-19 11:11:28.961; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@15af9ce3[collection1] main
INFO  - 2014-10-19 11:11:28.966; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr\collection1\conf
INFO  - 2014-10-19 11:11:28.967; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr\collection1\conf}
INFO  - 2014-10-19 11:11:28.968; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr\collection1\conf
INFO  - 2014-10-19 11:11:28.972; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr\collection1\conf
INFO  - 2014-10-19 11:11:28.973; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2014-10-19 11:11:28.974; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2014-10-19 11:11:28.974; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr\collection1\conf
